10,4458
24,6694
38,6508
52,5787
63,8447
77,12460
91,13523
105,16434
119,9581
133,10605
148,12320
162,13727
176,13209
190,14620
205,12581
219,9407
232,13300
246,14714
260,11322
274,10837
288,10693
302,13827
316,10681
330,12897
344,12606
358,11342
373,9085
387,9003
402,9727
416,10648
430,12457
444,14992
459,22745
473,29942
487,22713
501,16374
516,19744
529,20274
544,12119
558,9694
573,16966
587,11676
601,9146
616,8382
630,6236
644,7416
658,8005
672,6309
686,11291
700,32768
714,32768
728,29437
742,15553
756,12619
770,11544
785,7548
799,8573
813,8931
828,19231
842,19110
857,19605
872,16382
886,19949
901,13521
916,8398
930,10047
944,9058
958,6103
973,32768
987,20566
1001,15063
1015,8172
1029,6588
1044,7836
1058,7793
1071,8395
1085,25020
1099,30012
1113,31587
1127,31318
1141,23059
1154,31659
1168,18893
1182,16711
1197,22485
1211,19018
1225,19565
1239,19109
1253,25606
1267,21820
0,4089
1,4638
2,3787
3,3756
4,4562
5,4132
6,3522
7,3634
8,3598
9,3931
10,4839
11,4895
12,3364
13,3447
14,3337
15,4611
16,3611
17,2908
18,3514
19,3255
20,3666
21,5100
22,2634
23,2591
24,4834
25,4437
26,3306
27,2594
28,2748
29,2697
30,3593
31,4232
32,4964
33,3747
34,2354
35,4215
36,4712
37,4445
38,2824
39,3125
40,4007
41,3420
42,3289
43,3980
44,3825
45,2959
46,3317
47,4045
48,3310
49,3096
50,3050
51,4249
52,4339
53,3912
54,2670
55,4454
56,5463
57,4061
58,2504
59,2754
60,3848
61,3419
62,3614
63,5033
64,3139
65,4268
66,6309
67,4121
68,3300
69,3686
70,5836
71,8697
72,3518
73,4110
74,3762
75,2933
76,4429
77,4135
78,3065
79,2518
80,3585
81,3491
82,2264
83,2724
84,3464
85,3921
86,2994
87,2666
88,4180
89,3365
90,3625
91,4774
92,3099
93,3060
94,3313
95,4496
96,5727
97,3848
98,3117
99,3690
100,5478
101,4611
102,3675
103,3264
104,3298
105,2991
106,3454
107,2926
108,2910
109,4934
110,2868
111,3586
112,3738
113,3115
114,3513
115,3615
116,2437
117,3608
118,2662
119,4853
120,4501
121,3293
122,2892
123,3428
124,3465
125,4234
126,4336
127,4087
128,2936
129,2488
130,3346
131,3709
132,4303
133,3471
134,3231
135,3891
136,3115
137,3868
138,4399
139,4719
140,3461
141,4632
142,4536
143,3185
144,3309
145,3873
146,3143
147,5259
148,3742
149,4015
150,6125
151,4535
152,5480
153,3894
154,5219
155,3686
156,4858
157,4222
158,3900
159,3542
160,3354
161,3713
162,2613
163,4336
164,2652
165,4135
166,3125
167,4344
168,4652
169,2594
170,5075
171,2784
172,2863
173,3331
174,3246
175,3184
176,5181
177,2994
178,2628
179,3903
180,3357
181,4281
182,4448
183,4070
184,3156
185,5735
186,3193
187,5054
188,3822
189,3236
190,3665
191,3448
192,5737
193,3886
194,3656
195,4240
196,3682
197,4732
198,3599
199,4240
200,2707
201,3464
202,4547
203,4066
204,3964
205,5123
206,3179
207,3150
208,4722
209,4783
210,2984
211,3125
212,3430
213,3649
214,3332
215,3221
216,4284
217,3715
218,3283
219,5103
220,3352
221,3915
222,4564
223,4104
224,3794
225,4335
226,4151
227,4942
228,3423
229,2994
230,4054
231,3194
232,2803
233,3639
234,4433
235,3411
236,3923
237,2785
238,3366
239,3507
240,2836
241,2836
242,4288
243,4470
244,4300
245,4678
246,3957
247,3900
248,3828
249,4263
250,3312
251,4651
252,3827
253,3154
254,4500
255,4242
256,3171
257,3299
258,4114
259,4899
260,4223
261,3055
262,4044
263,3936
264,4963
265,4014
266,4991
267,9227
268,7691
269,10514
270,13481
271,13100
272,14849
273,10022
274,13500
275,16465
276,14821
277,17186
278,14172
279,14763
280,13237
281,9354
282,13535
283,14504
284,11330
285,13887
286,9491
287,10730
288,16055
289,13005
290,17553
291,17713
292,21566
293,17651
294,14171
295,16105
296,15565
297,21656
298,19735
299,18676
300,15534
301,18200
